requestId,timestamp,duration,billedDuration
8b4476ac-cac1-4bac-9d7e-becaa1a19c66,2019-05-07 01:15:26.822,442.9,500
89857257-ac73-43ff-acd0-8c440cbab6fa,2019-05-07 01:15:28.042,138.28,200
6dadeba6-d11b-402b-ac5f-4b442e52afa9,2019-05-07 01:15:30.691,1569.22,1600
b88369dd-6136-4ca1-8e65-c2b53f961c29,2019-05-07 01:15:32.882,1092.19,1100
3d0fa383-b15a-4023-9654-6a36f0d3b7d5,2019-05-07 01:15:35.184,1236.85,1300
265bef9b-4c7c-41db-a2c9-d08de0a2b014,2019-05-07 01:15:37.427,1142.06,1200
585c3102-55b9-4aee-9458-df50c7aab6ef,2019-05-07 01:15:38.984,465.48,500
aeae7bf3-355a-44ea-8b40-cfb19435e141,2019-05-07 01:15:40.124,58.98,100
ed02c461-f4b1-45cd-a3b7-d9dd79671b53,2019-05-07 01:15:42.184,983.72,1000
194b0def-91df-4f91-81d9-18e901e58453,2019-05-07 01:15:43.686,419.8,500
fba84133-a48d-4b46-b930-707d08c84e88,2019-05-07 01:15:45.502,725.96,800
1fae071f-2fb0-4c5f-bede-a01830c70e44,2019-05-07 01:15:47.483,879.53,900
fdf9f2eb-8e38-430d-9d34-ed91e5525b3b,2019-05-07 01:15:49.165,584.01,600
55770b81-17b3-456d-ade2-765dba0773e6,2019-05-07 01:15:50.304,63.85,100
63f4a3b5-d6c3-418e-97d5-e913fb8d48c5,2019-05-07 01:15:51.824,414.12,500
623ccf31-2322-432b-b5ff-46d45a1266e6,2019-05-07 01:15:53.124,217.77,300
caf03d5d-b433-4d12-87ff-5854855caaff,2019-05-07 01:15:55.226,1021.52,1100
c3f90586-3a4d-48d1-8b35-da8ae2fd78fd,2019-05-07 01:15:56.422,113.16,200
b4e4af8f-07de-47c5-8b15-069007f1348e,2019-05-07 01:15:58.142,606.4,700
1e594906-8e3f-487e-a722-768a7a9aee41,2019-05-07 01:15:59.447,237.31,300
a40cdcd2-5217-4649-adb3-edd4e878279f,2019-05-07 01:16:00.847,320.1,400
7f07d83f-d1e5-48b4-9354-4a3ed424bb96,2019-05-07 01:16:02.486,539.69,600
3c8bdd72-abe4-4f29-9e72-e4c7d9852f0c,2019-05-07 01:16:04.305,744.74,800
f612a3fe-7177-4871-a30e-df2823ea153c,2019-05-07 01:16:05.945,497.48,500
22aa4cbb-1050-4f63-9b96-0e06c2b6193c,2019-05-07 01:16:07.204,161.55,200
6473395b-fe91-46aa-8a3a-9ebe4bb5128d,2019-05-07 01:16:09.142,785.29,800
eb4b6d48-6501-4773-b8ad-62c1c9af8206,2019-05-07 01:16:10.622,371.72,400
c26ae046-c7e8-4132-a930-3b639e67d986,2019-05-07 01:16:12.864,1168.63,1200
e445493a-fb54-4fc4-af57-6c5250fc45a7,2019-05-07 01:16:14.003,54.62,100
4dd4c05d-e951-4177-85aa-29eba7aa678d,2019-05-07 01:16:15.204,109.31,200
2643ff22-07d9-4cea-9e5c-7214e46f8971,2019-05-07 01:16:16.384,94.83,100
510ae982-919d-4971-a5d0-e09fccc35d12,2019-05-07 01:16:17.562,78.46,100
e498ecb1-6a05-443e-a927-4b3434603825,2019-05-07 01:16:19.042,357.42,400
