@requestId,@timestamp,@duration,@billedDuration
6b7a396a-d915-495a-a37e-4c752d5d79ad,2019-05-19 03:14:12.072,3868.07,3900
e547a001-b67b-48c8-b841-cc465750693b,2019-05-19 03:14:16.393,3198.94,3200
3b898ce6-0bd0-48bd-81a7-15bc32225c7e,2019-05-19 03:14:19.453,1951.28,2000
8fc22041-8704-46e5-9fa0-97401be4d314,2019-05-19 03:14:22.093,1551.76,1600
91923d77-e7f9-458f-8ab8-dc1924dcb18d,2019-05-19 03:14:28.191,5013.01,5100
58835f1e-4c02-464e-8543-f585267e5c42,2019-05-19 03:14:31.451,2152.83,2200
78a1f077-faf1-4ba8-ab46-46bd096c5ea1,2019-05-19 03:14:35.950,3393.94,3400
b5475648-6430-411d-986a-42cdc2d01207,2019-05-19 03:14:39.571,2528.72,2600
5fe37b9e-199f-4b08-96a6-fb5cf24131ef,2019-05-19 03:14:47.353,6697.23,6700
35fc2a0e-ac53-47cf-a538-2028cc9fe950,2019-05-19 03:14:51.631,3181.03,3200
c2f99f78-76d9-42e8-9305-bf1ff1cfe0b7,2019-05-19 03:14:57.455,4746.77,4800
fdf717aa-e5d2-4ebb-a46c-0f071317a988,2019-05-19 03:15:00.733,2194.3,2200
1908f878-17b4-41a0-b5b1-53060425441f,2019-05-19 03:15:07.732,5921.65,6000
31dae0cf-a501-4a55-aeb2-fb46a52e372e,2019-05-19 03:15:13.310,4469.95,4500
d3186277-e3f3-4e2b-be89-8927f4fa657e,2019-05-19 03:15:17.413,3025.94,3100
75926191-6e22-4506-ad28-1fd751342a2f,2019-05-19 03:15:22.810,4212.62,4300
8d181f29-db6d-45c3-b81a-555d01069272,2019-05-19 03:15:30.970,7069.21,7100
ecd86cbb-dde3-431a-9385-a5364dbb49e8,2019-05-19 03:15:39.692,7643.49,7700
14ab3ba5-d2be-4f6b-a695-7a1872c3d03f,2019-05-19 03:15:43.614,2837.2,2900
895bd5ef-cdf8-4dab-b6e9-272bb08330c2,2019-05-19 03:15:50.370,5649.72,5700
4328bf29-fa35-4fae-b724-917287f21899,2019-05-19 03:15:53.814,2374.2,2400
ac5ec91c-3dd7-4f4b-a8db-0b742b7a825d,2019-05-19 03:15:57.893,2967,3000
7db07607-80ec-434d-8a34-f9a376353c44,2019-05-19 03:16:02.691,3685.67,3700
454ca7dc-2fd6-44a1-ae76-942943904da7,2019-05-19 03:16:09.834,6073.64,6100
b8b62746-8728-441a-af80-04d27935651e,2019-05-19 03:16:13.331,2406.65,2500
e425e4e4-ad31-4049-b258-eb2d9bc1020b,2019-05-19 03:16:16.956,2541.07,2600
f806d979-68e1-4323-b7c7-16a95d2222c1,2019-05-19 03:16:24.231,6174.16,6200
46a35ef8-0625-4dd2-b481-c9434d9910f9,2019-05-19 03:16:30.952,5650.66,5700
eb97512e-38b2-4070-934e-5e049ef800fa,2019-05-19 03:16:40.130,8075.03,8100
76db04eb-6ed0-478c-87e4-8b854445ca8d,2019-05-19 03:16:44.570,3333.29,3400
1cf2a58f-b624-498b-ad37-c297b987f931,2019-05-19 03:16:52.833,7189.59,7200
7b22e779-577b-4053-8949-feb9212a7a0c,2019-05-19 03:16:59.693,5752.99,5800
248eea2f-9049-4bbd-9ae9-5179890eefe1,2019-05-19 03:17:04.411,3620.99,3700
ad990e23-c304-4f24-8548-b1bd38d1a7df,2019-05-19 03:17:11.011,5500.16,5600
6ae8a559-82f3-4977-94cc-5e615dbaaae3,2019-05-19 03:17:17.152,5047.57,5100
bb43062e-cbc0-419b-9f09-68a81e14b7f4,2019-05-19 03:17:24.690,6439.59,6500
edf72ec6-7eaf-4abf-8e94-26454491447f,2019-05-19 03:17:28.576,2776.11,2800
6134e7a1-db57-4961-856f-12f54cf72ff9,2019-05-19 03:17:32.610,2940.08,3000
